row,col,time_min
576,220,113.83590842534555
313,106,96.41345924588205
350,84,111.82385999833556
180,49,108.71810136616787
182,76,112.41417270279116
313,79,104.60774502390085
156,47,109.23833176565998
580,285,112.33429665889918
515,281,104.22761179936128
250,86,109.01561149928341
197,112,106.86611933127848
347,3,114.94984758069957
